345679  300  0.0025	100.00	54.33	[200, 100, 50]  3
345679  300  0.0025	100.00	55.33	[150, 100, 6]  2
79  300  0.0025	100.00	84.00	[150, 100, 2]  2
79  300  0.0025	100.00	86.00	[200, 100, 50]  3
79  300  0.0025	100.00	82.00	[100, 100, 100]  3
79  300  0.0025	100.00	84.00	[200, 100, 100]  3
16  300  0.0025	100.00	95.00	[200, 100, 100]  3
16  300  0.0025	100.00	98.00	[200, 100, 2]  2
16  300  0.0025	100.00	97.00	[200, 100, 2]  2
16  300  0.0025	100.00	97.00	[200, 100, 2]  2
16  300  0.0025	100.00	98.00	[200, 100, 2]  2
